RFAM_Family,Description,Clan_Accession,Clan_Description,Count,Percentage
RF00380,M-box riboswitch aptamer (ykoK leader),,,1,0.04%
RF00436,UnaL2 LINE 3' element,,,1,0.04%
RF00480,HIV Ribosomal frameshift signal,,,1,0.04%
RF00500,Turnip crinkle virus (TCV) repressor of minus strand synthesis H5,,,1,0.04%
RF00505,RydC RNA,,,1,0.04%
RF00525,Flavivirus DB element,,,1,0.04%
RF00634,SAM (S-adenosyl methionine) riboswitch aptamer,CL00012,SAM clan,1,0.04%
RF00635,Highly accelerated region 1A/1B,,,1,0.04%
RF00658,microRNA mir-21,,,1,0.04%
RF00661,mir-31 microRNA precursor family,CL00133,mir-31 microRNA precursor family,1,0.04%
RF01047,HBV RNA encapsidation signal epsilon,CL00104,Hepadnavirus_epsilon clan,1,0.04%
RF01054,PreQ1-II (pre queuosine) riboswitch aptamer,,,1,0.04%
RF01057,SAH (S-adenosyl-L-homocysteine) riboswitch aptamer,,,1,0.04%
RF01073,Gag/pol translational readthrough site,,,1,0.04%
RF01084,Pseudoknot of tRNA-like structure,,,1,0.04%
RF01317,CRISPR RNA direct repeat element,CL00014,CRISPR-1 clan,1,0.04%
RF01380,Human immunodeficiency virus type 1 major splice donor,,,1,0.04%
RF01381,HIV-1 stem-loop 3 Psi packaging signal,,,1,0.04%
RF01415,Flavivirus 3'UTR stem loop IV,,,1,0.04%
RF01704,Glutamine-II riboswitch aptamer,,,1,0.04%
RF01727,SAM/SAH riboswitch aptamer,,,1,0.04%
RF01739,Glutamine riboswitch aptamer (glnA leader),,,1,0.04%
RF01764,azaaromatic riboswitch aptamer (yjdF RNA),,,1,0.04%
RF01767,SAM-III riboswitch aptamer (SMK box),,,1,0.04%
RF01786,Cyclic di-GMP-II riboswitch aptamer,CL00127,c-di-GMP_II riboswitch clan,1,0.04%
RF01826,SAM-V (S-adenosyl methionine) riboswitch aptamer,,,1,0.04%
RF01835,ribosomal frameshift site,,,1,0.04%
RF02033,HNH endonuclease-associated RNA and ORF (HEARO) RNA,,,1,0.04%
RF02095,mir-2985-2 microRNA precursor,,,1,0.04%
RF02253,Iron response element II,,,1,0.04%
RF02519,ToxI antitoxin,,,1,0.04%
RF02521,Panicum mosaic virus cap-independent translation enhancer RNA (PTE),,,1,0.04%
RF02553,Y RNA-like,,,1,0.04%
RF02681,Twister_sister_ribozyme,,,1,0.04%
RF02683,NiCo (Nickel/Cobalt) riboswitch aptamer,CL00122,NiCo_riboswitches,1,0.04%
RF02747,Francisella sRNA A,,,1,0.04%
RF03054,Xanthine riboswitch aptamer (NMT1 RNA),,,1,0.04%
RF03064,RAGATH-18 RNA,,,1,0.04%
RF03085,abiF RNA,,,1,0.04%
RF03152,RAGATH-1 hammerhead ribozyme,,,1,0.04%
RF04222,Flavivirus Potato leading responsible virus exoribonuclease-resistant RNA,,,1,0.04%
