RFAM_Family,rna_cm,rna_go,rna_if,rna_if_bench,rna_ligand,rna_prot,rna_site,rna_site_bench
RF02001,0,0,3,0,0,0,0,0
"RF02001,RF01998",0,52,0,0,0,1,0,1
RF02033,0,0,1,0,0,1,0,0
RF02095,0,0,1,0,0,0,0,0
RF02253,0,0,1,0,0,1,0,0
RF02340,0,0,2,0,0,1,0,0
"RF02340,RF00005",0,0,2,0,0,2,0,0
RF02348,0,0,36,0,0,5,1,0
RF02359,0,0,4,0,0,4,0,0
RF02519,1,0,1,0,0,1,0,0
RF02521,1,0,1,0,0,1,0,0
RF02540,0,2,2,0,0,0,0,0
"RF02540,RF02541",0,0,9,0,5,3,1,0
"RF02540,RF02541,RF00002",0,0,4,0,0,0,0,0
"RF02540,RF02541,RF02543",0,0,3,0,0,2,0,0
"RF02540,RF02541,RF02543,RF00002",0,0,1,0,0,0,0,0
"RF02540,RF02543",0,0,13,0,0,1,0,0
RF02541,0,0,14,0,0,6,2,0
"RF02541,RF02540",0,0,13,0,0,2,1,0
"RF02541,RF02540,RF02540,RF02540",0,0,1,0,0,1,0,0
RF02542,0,0,3,0,0,1,0,0
"RF02542,RF01960,RF01959,RF00177",0,0,3,0,0,1,0,0
RF02543,1,0,21,0,0,17,1,0
"RF02543,RF02541",0,0,1,0,0,1,1,0
RF02545,1,0,6,0,0,3,2,0
RF02546,0,0,4,0,0,0,0,0
"RF02546,RF02545",0,0,1,0,0,2,0,0
RF02553,0,0,1,0,0,1,0,0
RF02678,0,3,2,0,0,1,0,0
RF02679,0,8,2,0,0,1,0,0
RF02680,0,0,5,0,0,1,0,0
RF02681,0,0,1,0,0,1,0,0
RF02683,0,0,1,0,0,1,0,0
RF02747,0,0,1,0,0,0,0,0
RF02796,0,6,2,0,0,0,0,0
RF02885,0,0,2,0,0,1,1,0
RF02977,0,0,3,0,0,2,0,0
RF03013,0,0,4,0,0,3,1,0
RF03016,0,0,4,0,0,3,0,0
RF03022,0,0,6,0,0,5,1,0
RF03054,0,0,1,0,0,1,0,0
RF03064,0,0,1,0,0,1,0,0
RF03072,0,0,2,0,0,1,0,0
RF03085,0,0,1,0,0,1,0,0
RF03117,0,0,4,0,0,0,0,0
RF03120,0,0,2,0,0,0,0,0
"RF03120,RF03117",0,0,2,0,0,0,0,0
RF03152,0,0,1,0,0,1,0,0
RF03160,2,0,3,0,0,3,0,1
"RF03167,RF01051",0,0,6,0,0,1,1,0
RF04190,1,0,2,0,0,1,1,0
RF04222,1,0,1,0,0,1,0,0
