RFAM_Family,rna_cm,rna_go,rna_if,rna_if_bench,rna_ligand,rna_prot,rna_site,rna_site_bench
RF02542,0,0,1,0,0,0,0,0
RF02543,3,0,161,0,198,61,3,0
RF02545,1,0,6,0,0,3,2,0
RF02546,0,0,5,0,0,2,0,0
RF02678,0,3,2,0,0,1,0,0
RF02679,0,8,2,0,0,1,0,0
RF02680,0,0,5,0,0,1,0,0
RF02681,0,0,1,0,0,1,0,0
RF02683,0,0,1,0,0,1,0,0
RF02796,0,6,2,0,0,0,0,0
RF02977,0,0,3,0,0,2,0,0
RF03013,0,0,4,0,0,3,1,0
RF03016,0,0,4,0,0,3,0,0
RF03022,0,0,6,0,0,5,1,0
RF03054,0,0,1,0,0,1,0,0
RF03064,0,0,1,0,0,1,0,0
RF03072,0,0,1,0,0,0,0,0
RF03085,0,0,1,0,0,1,0,0
RF03120,0,0,2,0,0,0,0,0
RF03167,0,0,6,0,0,1,1,0
RF04190,1,0,2,0,0,1,1,0
RF04222,1,0,1,0,0,1,0,0
