,residue,split,target
81,1asz.R.663,train,
82,1asz.R.664,train,
83,1asz.R.665,train,
84,1asz.R.666,train,
85,1asz.R.667,train,
86,1asz.R.668,train,
87,1asz.R.669,train,
88,1asz.R.670,train,
89,1asz.R.671,train,
90,1asz.R.672,train,
91,1asz.R.673,train,
92,1asz.R.674,train,"{'name': 'ATP', 'id': ['H_ATP', 701, ' ']}"
93,1asz.R.675,train,"{'name': 'ATP', 'id': ['H_ATP', 701, ' ']}"
94,1asz.R.676,train,"{'name': 'ATP', 'id': ['H_ATP', 701, ' ']}"
95,1c0a.B.602,train,
96,1c0a.B.601,train,
97,1c0a.B.603,train,
98,1c0a.B.604,train,
99,1c0a.B.605,train,
100,1c0a.B.606,train,
101,1c0a.B.607,train,
102,1c0a.B.608,train,
103,1c0a.B.609,train,
104,1c0a.B.610,train,
105,1c0a.B.611,train,
106,1c0a.B.612,train,
107,1c0a.B.613,train,
108,1c0a.B.614,train,
109,1c0a.B.615,train,
110,1c0a.B.616,train,
111,1c0a.B.617,train,
112,1c0a.B.618,train,
113,1c0a.B.619,train,
114,1c0a.B.620,train,
115,1c0a.B.621,train,
116,1c0a.B.622,train,
117,1c0a.B.623,train,
118,1c0a.B.624,train,
119,1c0a.B.625,train,
120,1c0a.B.626,train,
121,1c0a.B.627,train,
122,1c0a.B.628,train,
123,1c0a.B.629,train,
124,1c0a.B.630,train,
125,1c0a.B.631,train,
126,1c0a.B.632,train,
127,1c0a.B.633,train,
128,1c0a.B.634,train,
129,1c0a.B.635,train,
130,1c0a.B.636,train,
131,1c0a.B.637,train,
132,1c0a.B.638,train,
133,1c0a.B.639,train,
134,1c0a.B.640,train,
135,1c0a.B.641,train,
136,1c0a.B.642,train,
137,1c0a.B.643,train,
138,1c0a.B.644,train,
139,1c0a.B.645,train,
140,1c0a.B.646,train,
141,1c0a.B.647,train,
142,1c0a.B.648,train,
143,1c0a.B.649,train,
144,1c0a.B.650,train,
145,1c0a.B.651,train,
146,1c0a.B.652,train,
147,1c0a.B.653,train,
148,1c0a.B.654,train,
149,1c0a.B.655,train,
150,1c0a.B.656,train,
151,1c0a.B.657,train,
152,1c0a.B.658,train,
153,1c0a.B.659,train,
154,1c0a.B.660,train,
155,1c0a.B.661,train,
156,1c0a.B.662,train,
157,1c0a.B.663,train,
158,1c0a.B.664,train,
159,1c0a.B.665,train,
160,1c0a.B.666,train,
161,1c0a.B.667,train,
162,1c0a.B.668,train,
163,1c0a.B.669,train,
164,1c0a.B.670,train,
165,1c0a.B.671,train,
166,1c0a.B.672,train,
167,1c0a.B.673,train,
168,1c0a.B.674,train,
169,1c0a.B.675,train,"{'name': 'AMO', 'id': ['H_AMO', 831, ' ']}"
170,1c0a.B.676,train,"{'name': 'AMO', 'id': ['H_AMO', 831, ' ']}"
171,1dk1.B.2,train,
172,1dk1.B.1,train,
173,1dk1.B.3,train,
174,1dk1.B.4,train,
175,1dk1.B.5,train,
176,1dk1.B.6,train,
177,1dk1.B.7,train,
178,1dk1.B.8,train,
179,1dk1.B.9,train,
180,1dk1.B.10,train,
181,1dk1.B.11,train,
182,1dk1.B.12,train,
183,1dk1.B.13,train,
184,1dk1.B.14,train,
185,1dk1.B.15,train,
186,1dk1.B.16,train,
187,1dk1.B.17,train,
188,1dk1.B.18,train,
189,1dk1.B.19,train,
190,1dk1.B.20,train,
191,1dk1.B.21,train,"{'name': 'MSE', 'id': ['H_MSE', 111, ' ']}"
192,1dk1.B.22,train,"{'name': 'MSE', 'id': ['H_MSE', 111, ' ']}"
193,1dk1.B.23,train,"{'name': 'MSE', 'id': ['H_MSE', 111, ' ']}"
194,1dk1.B.24,train,
195,1dk1.B.25,train,
196,1dk1.B.26,train,
197,1dk1.B.27,train,
198,1dk1.B.28,train,
199,1dk1.B.29,train,
200,1dk1.B.30,train,
201,1dk1.B.31,train,
202,1dk1.B.32,train,
203,1dk1.B.33,train,
204,1dk1.B.34,train,
205,1dk1.B.35,train,
206,1dk1.B.36,train,
207,1dk1.B.37,train,
208,1dk1.B.38,train,
209,1dk1.B.39,train,"{'name': 'MSE', 'id': ['H_MSE', 158, ' ']}"
210,1dk1.B.40,train,"{'name': 'MSE', 'id': ['H_MSE', 158, ' ']}"
211,1dk1.B.41,train,"{'name': 'MSE', 'id': ['H_MSE', 158, ' ']}"
212,1dk1.B.42,train,
213,1dk1.B.43,train,
214,1dk1.B.44,train,
215,1dk1.B.45,train,
216,1dk1.B.46,train,
217,1dk1.B.47,train,
218,1dk1.B.48,train,
219,1dk1.B.49,train,
220,1dk1.B.50,train,
221,1dk1.B.51,train,
222,1dk1.B.52,train,
223,1dk1.B.53,train,
224,1dk1.B.54,train,
225,1dk1.B.55,train,
226,1dk1.B.56,train,
227,1dk1.B.57,train,
228,1drz.B.102,train,
229,1drz.B.101,train,
230,1drz.B.103,train,
231,1drz.B.104,train,
232,1drz.B.105,train,
233,1drz.B.106,train,
234,1drz.B.107,train,
235,1drz.B.108,train,
236,1drz.B.109,train,
237,1drz.B.110,train,
238,1drz.B.111,train,
239,1drz.B.112,train,
240,1drz.B.113,train,
241,1drz.B.114,train,
242,1drz.B.115,train,
243,1drz.B.116,train,
244,1drz.B.117,train,
245,1drz.B.118,train,
246,1drz.B.119,train,
247,1drz.B.120,train,
248,1drz.B.121,train,
249,1drz.B.122,train,
250,1drz.B.123,train,
251,1drz.B.124,train,
252,1drz.B.125,train,
253,1drz.B.126,train,
254,1drz.B.127,train,
255,1drz.B.128,train,
256,1drz.B.129,train,
257,1drz.B.130,train,
258,1drz.B.131,train,
259,1drz.B.132,train,
260,1drz.B.133,train,
261,1drz.B.134,train,
262,1drz.B.135,train,
263,1drz.B.136,train,
264,1drz.B.137,train,
265,1drz.B.138,train,
266,1drz.B.139,train,
267,1drz.B.140,train,
268,1drz.B.141,train,
269,1drz.B.142,train,
270,1drz.B.143,train,
271,1drz.B.144,train,
272,1drz.B.145,train,
273,1drz.B.146,train,
274,1drz.B.147,train,
275,1drz.B.148,train,
276,1drz.B.149,train,
277,1drz.B.150,train,
278,1drz.B.151,train,"{'name': 'MSE', 'id': ['H_MSE', 51, ' ']}"
279,1drz.B.152,train,"{'name': 'MSE', 'id': ['H_MSE', 51, ' ']}"
280,1drz.B.153,train,"{'name': 'MSE', 'id': ['H_MSE', 51, ' ']}"
281,1drz.B.154,train,
282,1drz.B.155,train,
283,1drz.B.156,train,
284,1drz.B.157,train,
285,1drz.B.158,train,
286,1drz.B.159,train,
287,1drz.B.160,train,
288,1drz.B.161,train,
289,1drz.B.162,train,
290,1drz.B.163,train,
291,1drz.B.164,train,
292,1drz.B.165,train,
293,1drz.B.166,train,
294,1drz.B.167,train,
295,1drz.B.168,train,
296,1drz.B.169,train,
297,1drz.B.170,train,
298,1drz.B.171,train,
299,1drz.B.172,train,
300,1dul.B.131,test,
301,1dul.B.130,test,
302,1dul.B.132,test,
303,1dul.B.133,test,
304,1dul.B.134,test,
305,1dul.B.135,test,
306,1dul.B.136,test,
307,1dul.B.137,test,
308,1dul.B.138,test,
309,1dul.B.139,test,
310,1dul.B.140,test,
311,1dul.B.141,test,
312,1dul.B.142,test,
313,1dul.B.143,test,
314,1dul.B.144,test,
315,1dul.B.145,test,
316,1dul.B.146,test,
317,1dul.B.147,test,
318,1dul.B.148,test,
319,1dul.B.149,test,
320,1dul.B.150,test,"{'name': 'MSE', 'id': ['H_MSE', 60, ' ']}"
321,1dul.B.151,test,"{'name': 'MSE', 'id': ['H_MSE', 60, ' ']}"
322,1dul.B.152,test,
323,1dul.B.153,test,
324,1dul.B.154,test,
325,1dul.B.155,test,
326,1dul.B.156,test,
327,1dul.B.157,test,
328,1dul.B.158,test,
329,1dul.B.159,test,
330,1dul.B.160,test,
331,1dul.B.161,test,
332,1dul.B.162,test,
333,1dul.B.163,test,"{'name': 'MSE', 'id': ['H_MSE', 35, ' ']}"
334,1dul.B.164,test,"{'name': 'MSE', 'id': ['H_MSE', 37, ' ']}"
335,1dul.B.165,test,"{'name': 'MSE', 'id': ['H_MSE', 37, ' ']}"
336,1dul.B.166,test,
337,1dul.B.167,test,
338,1dul.B.168,test,
339,1dul.B.169,test,
340,1dul.B.170,test,
341,1dul.B.171,test,
342,1dul.B.172,test,
343,1dul.B.173,test,
344,1dul.B.174,test,
345,1dul.B.175,test,
346,1dul.B.176,test,
347,1dul.B.177,test,
348,1dul.B.178,test,
349,1exd.B.903,train,
350,1exd.B.902,train,
351,1exd.B.904,train,
352,1exd.B.905,train,
353,1exd.B.906,train,
354,1exd.B.907,train,
355,1exd.B.908,train,
356,1exd.B.909,train,
357,1exd.B.910,train,
358,1exd.B.911,train,
359,1exd.B.912,train,
360,1exd.B.913,train,
361,1exd.B.914,train,
362,1exd.B.915,train,
363,1exd.B.916,train,
364,1exd.B.919,train,
365,1exd.B.918,train,
366,1exd.B.920,train,
367,1exd.B.921,train,
368,1exd.B.922,train,
369,1exd.B.923,train,
370,1exd.B.924,train,
371,1exd.B.925,train,
372,1exd.B.926,train,
373,1exd.B.927,train,
374,1exd.B.928,train,
375,1exd.B.929,train,
376,1exd.B.930,train,
377,1exd.B.931,train,
378,1exd.B.932,train,
379,1exd.B.933,train,
380,1exd.B.934,train,
381,1exd.B.935,train,
382,1exd.B.936,train,
383,1exd.B.937,train,
384,1exd.B.938,train,
385,1exd.B.939,train,
386,1exd.B.940,train,
387,1exd.B.941,train,
388,1exd.B.942,train,
389,1exd.B.943,train,
390,1exd.B.944,train,
391,1exd.B.945,train,
392,1exd.B.946,train,
393,1exd.B.949,train,
394,1exd.B.948,train,
395,1exd.B.950,train,
396,1exd.B.951,train,
397,1exd.B.952,train,
398,1exd.B.953,train,
399,1exd.B.954,train,
400,1exd.B.955,train,
401,1exd.B.956,train,
402,1exd.B.957,train,
403,1exd.B.958,train,
404,1exd.B.959,train,
405,1exd.B.960,train,
406,1exd.B.961,train,
407,1exd.B.962,train,
408,1exd.B.963,train,
409,1exd.B.964,train,
410,1exd.B.965,train,
411,1exd.B.966,train,
412,1exd.B.967,train,
413,1exd.B.968,train,
414,1exd.B.969,train,
415,1exd.B.970,train,
416,1exd.B.971,train,
417,1exd.B.972,train,
418,1exd.B.973,train,
419,1exd.B.974,train,
420,1exd.B.975,train,
421,1exd.B.976,train,"{'name': 'AMP', 'id': ['H_AMP', 998, ' ']}"
422,1f7u.B.902,train,
423,1f7u.B.901,train,
424,1f7u.B.903,train,
425,1f7u.B.904,train,
426,1f7u.B.905,train,
427,1f7u.B.906,train,
428,1f7u.B.907,train,
429,1f7u.B.908,train,
430,1f7u.B.909,train,
431,1f7u.B.910,train,
432,1f7u.B.911,train,
433,1f7u.B.912,train,
434,1f7u.B.913,train,
435,1f7u.B.914,train,
436,1f7u.B.915,train,
437,1f7u.B.916,train,
438,1f7u.B.917,train,
439,1f7u.B.918,train,
440,1f7u.B.919,train,
441,1f7u.B.920,train,
442,1f7u.B.921,train,
443,1f7u.B.922,train,
444,1f7u.B.923,train,
445,1f7u.B.924,train,
446,1f7u.B.925,train,
447,1f7u.B.926,train,
448,1f7u.B.927,train,
449,1f7u.B.928,train,
450,1f7u.B.929,train,
451,1f7u.B.930,train,
452,1f7u.B.931,train,
453,1f7u.B.932,train,
454,1f7u.B.933,train,
455,1f7u.B.934,train,
456,1f7u.B.935,train,
457,1f7u.B.936,train,
458,1f7u.B.937,train,
459,1f7u.B.938,train,
460,1f7u.B.939,train,
461,1f7u.B.940,train,
462,1f7u.B.941,train,
463,1f7u.B.942,train,
464,1f7u.B.943,train,
465,1f7u.B.944,train,
466,1f7u.B.945,train,
467,1f7u.B.946,train,
468,1f7u.B.947,train,
469,1f7u.B.948,train,
470,1f7u.B.949,train,
471,1f7u.B.950,train,
472,1f7u.B.951,train,
473,1f7u.B.952,train,
474,1f7u.B.953,train,
475,1f7u.B.954,train,
476,1f7u.B.955,train,
477,1f7u.B.956,train,
478,1f7u.B.957,train,
479,1f7u.B.958,train,
480,1f7u.B.959,train,
481,1f7u.B.960,train,
482,1f7u.B.961,train,
483,1f7u.B.962,train,
484,1f7u.B.963,train,
485,1f7u.B.964,train,
486,1f7u.B.965,train,
487,1f7u.B.966,train,
488,1f7u.B.967,train,
489,1f7u.B.968,train,
490,1f7u.B.969,train,
491,1f7u.B.970,train,
492,1f7u.B.971,train,
493,1f7u.B.972,train,
494,1f7u.B.973,train,
495,1f7u.B.974,train,
496,1f7u.B.975,train,
497,1f7u.B.976,train,"{'name': 'ARG', 'id': ['H_ARG', 800, ' ']}"
498,1hc8.C.103,val,"{'name': 'GTP', 'id': ['H_GTP', 101, ' ']}"
499,1hc8.C.102,val,"{'name': 'GTP', 'id': ['H_GTP', 101, ' ']}"
500,1hc8.C.104,val,
501,1hc8.C.105,val,
502,1hc8.C.106,val,
503,1hc8.C.107,val,
504,1hc8.C.108,val,
505,1hc8.C.109,val,
506,1hc8.C.110,val,
507,1hc8.C.111,val,
508,1hc8.C.112,val,
509,1hc8.C.113,val,
510,1hc8.C.114,val,
511,1hc8.C.115,val,
512,1hc8.C.116,val,
513,1hc8.C.117,val,
514,1hc8.C.118,val,
515,1hc8.C.119,val,
516,1hc8.C.120,val,
517,1hc8.C.121,val,
518,1hc8.C.122,val,
519,1hc8.C.123,val,
520,1hc8.C.124,val,
521,1hc8.C.125,val,
522,1hc8.C.126,val,
523,1hc8.C.127,val,
524,1hc8.C.128,val,
525,1hc8.C.129,val,
526,1hc8.C.130,val,
527,1hc8.C.131,val,
528,1hc8.C.132,val,
529,1hc8.C.133,val,
530,1hc8.C.134,val,
531,1hc8.C.135,val,
532,1hc8.C.136,val,
533,1hc8.C.137,val,
534,1hc8.C.138,val,
535,1hc8.C.139,val,
536,1hc8.C.140,val,
537,1hc8.C.141,val,
538,1hc8.C.142,val,
539,1hc8.C.143,val,
540,1hc8.C.144,val,
541,1hc8.C.145,val,
542,1hc8.C.146,val,
543,1hc8.C.147,val,
544,1hc8.C.148,val,
545,1hc8.C.149,val,
546,1hc8.C.150,val,
547,1hc8.C.151,val,
548,1hc8.C.152,val,
549,1hc8.C.153,val,"{'name': 'GTP', 'id': ['H_GTP', 101, ' ']}"
550,1hc8.C.154,val,
551,1hc8.C.155,val,
552,1hc8.C.156,val,
553,1hc8.C.157,val,"{'name': 'GTP', 'id': ['H_GTP', 101, ' ']}"
554,1hc8.C.158,val,"{'name': 'GTP', 'id': ['H_GTP', 101, ' ']}"
555,1m5k.A.2,train,
556,1m5k.A.1,train,
557,1m5k.A.3,train,
558,1m5k.A.4,train,
559,1m5k.A.5,train,
560,1m5k.A.6,train,
561,1m5k.A.7,train,
562,1m5k.A.8,train,
563,1m5k.A.9,train,
564,1m5k.A.10,train,
565,1m5k.A.11,train,
566,1m5k.A.12,train,
567,1m5k.A.13,train,
568,1m5k.A.14,train,
569,1m5k.A.15,train,"{'name': 'GTP', 'id': ['H_GTP', 1, ' ']}"
570,1m5k.A.16,train,
571,1m5k.A.17,train,
572,1m5k.A.18,train,
573,1m5k.A.19,train,
574,1m5k.A.20,train,"{'name': 'GTP', 'id': ['H_GTP', 1, ' ']}"
575,1m5k.A.21,train,"{'name': 'GTP', 'id': ['H_GTP', 1, ' ']}"
576,1m5k.B.3,train,
577,1m5k.B.2,train,"{'name': 'GTP', 'id': ['H_GTP', 1, ' ']}"
578,1m5k.B.4,train,
579,1m5k.B.5,train,
580,1m5k.B.6,train,
581,1m5k.B.7,train,
582,1m5k.B.8,train,
583,1m5k.B.9,train,
584,1m5k.B.10,train,
585,1m5k.B.11,train,
586,1m5k.B.12,train,
587,1m5k.B.13,train,
588,1m5k.B.14,train,
589,1m5k.B.15,train,
590,1m5k.B.16,train,
591,1m5k.B.17,train,
592,1m5k.B.18,train,
593,1m5k.B.19,train,
594,1m5k.B.20,train,
595,1m5k.B.21,train,
596,1m5k.B.22,train,
597,1m5k.B.23,train,
598,1m5k.B.24,train,
599,1m5k.B.25,train,
600,1m5k.B.26,train,
601,1m5k.B.27,train,
602,1m5k.B.28,train,
603,1m5k.B.29,train,
604,1m5k.B.30,train,
605,1m5k.B.31,train,
606,1m5k.B.32,train,
607,1m5k.B.33,train,
608,1m5k.B.34,train,
609,1m5k.B.35,train,
610,1m5k.B.36,train,
611,1m5k.B.37,train,
612,1m5k.B.38,train,
613,1m5k.B.39,train,
614,1m5k.B.40,train,
615,1m5k.B.41,train,
616,1m5k.B.42,train,
617,1m5k.B.43,train,
618,1m5k.B.44,train,
619,1m5k.B.45,train,
620,1m5k.B.46,train,
621,1m5k.B.47,train,
622,1m5k.B.48,train,
623,1m5k.B.49,train,
624,1m5k.B.50,train,
625,1m5k.B.51,train,
626,1m5k.B.52,train,
627,1m5k.B.53,train,
628,1m5k.B.54,train,
629,1m5k.B.55,train,
630,1m5k.B.56,train,
631,1m5k.B.57,train,
632,1m5k.B.58,train,
633,1m5k.B.59,train,
634,1m5k.B.60,train,
635,1m5k.B.61,train,
636,1m5k.B.62,train,
637,1m5k.B.63,train,
638,1m5k.B.64,train,
639,1m5k.B.65,train,
640,1m5k.B.66,train,
641,1m5k.B.67,train,
642,1m5k.B.68,train,
643,1m5k.B.69,train,
644,1m5k.B.70,train,
645,1m5k.B.71,train,
646,1m5k.B.72,train,
647,1m5k.B.73,train,
648,1m5k.B.74,train,
649,1m5k.B.75,train,
650,1m5k.B.76,train,
651,1m5k.B.77,train,
652,1m5k.B.78,train,
653,1m5k.B.79,train,
654,1m5k.B.80,train,
655,1m5k.B.81,train,
656,1m5k.B.82,train,
657,1m5k.B.83,train,
658,1m5k.B.84,train,
659,1m5k.B.85,train,
660,1m5k.B.86,train,
661,1m5k.B.87,train,
662,1m5k.B.88,train,
663,1m5k.B.89,train,
664,1m5k.B.90,train,
665,1m5k.B.91,train,
666,1m5k.B.92,train,
667,1mji.D.27,test,
668,1mji.D.26,test,
669,1mji.D.28,test,
670,1mji.D.29,test,
671,1mji.D.30,test,
672,1mji.D.31,test,
673,1mji.D.32,test,
674,1mji.D.33,test,
675,1mji.D.34,test,
676,1mji.D.35,test,
677,1mji.D.36,test,
678,1mji.D.37,test,
679,1mji.D.38,test,
680,1mji.D.39,test,
681,1mji.D.40,test,
682,1mji.D.41,test,
683,1mji.D.42,test,
684,1mji.D.43,test,
685,1mji.D.44,test,
686,1mji.D.45,test,
687,1mji.D.46,test,
688,1mji.D.47,test,
689,1mji.D.48,test,
690,1mji.D.49,test,
691,1mji.D.50,test,
692,1mji.D.51,test,
693,1mji.D.52,test,
694,1mji.D.53,test,
695,1mji.D.54,test,
696,1mji.D.55,test,
697,1mji.D.56,test,
698,1mji.D.57,test,
699,1mji.D.58,test,"{'name': 'MSE', 'id': ['H_MSE', 155, ' ']}"
700,1mji.D.59,test,
701,1mzp.B.2,train,
702,1mzp.B.1,train,
703,1mzp.B.3,train,
704,1mzp.B.4,train,
705,1mzp.B.5,train,
706,1mzp.B.6,train,
707,1mzp.B.7,train,
708,1mzp.B.8,train,
709,1mzp.B.9,train,
710,1mzp.B.10,train,
711,1mzp.B.11,train,
712,1mzp.B.12,train,
713,1mzp.B.13,train,
714,1mzp.B.14,train,
715,1mzp.B.15,train,
716,1mzp.B.16,train,
717,1mzp.B.17,train,
718,1mzp.B.18,train,
719,1mzp.B.19,train,
720,1mzp.B.20,train,"{'name': 'MSE', 'id': ['H_MSE', 209, ' ']}"
721,1mzp.B.21,train,"{'name': 'MSE', 'id': ['H_MSE', 209, ' ']}"
722,1mzp.B.22,train,
723,1mzp.B.23,train,"{'name': 'MSE', 'id': ['H_MSE', 209, ' ']}"
724,1mzp.B.24,train,"{'name': 'MSE', 'id': ['H_MSE', 209, ' ']}"
725,1mzp.B.25,train,
726,1mzp.B.26,train,
727,1mzp.B.27,train,
728,1mzp.B.28,train,
729,1mzp.B.29,train,
730,1mzp.B.30,train,
731,1mzp.B.31,train,
732,1mzp.B.32,train,
733,1mzp.B.33,train,
734,1mzp.B.34,train,
735,1mzp.B.35,train,
736,1mzp.B.36,train,
737,1mzp.B.37,train,
738,1mzp.B.38,train,
739,1mzp.B.39,train,
740,1mzp.B.40,train,
741,1mzp.B.41,train,
742,1mzp.B.42,train,
743,1mzp.B.43,train,
744,1mzp.B.44,train,"{'name': 'MSE', 'id': ['H_MSE', 209, ' ']}"
745,1mzp.B.45,train,"{'name': 'MSE', 'id': ['H_MSE', 209, ' ']}"
746,1mzp.B.46,train,"{'name': 'MSE', 'id': ['H_MSE', 209, ' ']}"
747,1mzp.B.47,train,"{'name': 'MSE', 'id': ['H_MSE', 209, ' ']}"
748,1mzp.B.48,train,
749,1mzp.B.49,train,
750,1mzp.B.50,train,
751,1mzp.B.51,train,
752,1mzp.B.52,train,
753,1mzp.B.53,train,
754,1mzp.B.54,train,
755,1mzp.B.55,train,
756,1n77.C.502,train,
757,1n77.C.501,train,
758,1n77.C.503,train,
759,1n77.C.504,train,
760,1n77.C.505,train,
761,1n77.C.506,train,
762,1n77.C.507,train,
763,1n77.C.508,train,
764,1n77.C.509,train,
765,1n77.C.510,train,
766,1n77.C.511,train,
767,1n77.C.512,train,
768,1n77.C.513,train,
769,1n77.C.514,train,
770,1n77.C.515,train,
771,1n77.C.516,train,
772,1n77.C.519,train,
773,1n77.C.518,train,
774,1n77.C.520,train,
775,1n77.C.521,train,
776,1n77.C.522,train,
777,1n77.C.523,train,
778,1n77.C.524,train,
779,1n77.C.525,train,
780,1n77.C.526,train,
781,1n77.C.527,train,
782,1n77.C.528,train,
783,1n77.C.529,train,
784,1n77.C.530,train,
785,1n77.C.531,train,
786,1n77.C.532,train,
787,1n77.C.533,train,
788,1n77.C.534,train,
789,1n77.C.535,train,
790,1n77.C.536,train,
791,1n77.C.537,train,
792,1n77.C.538,train,
793,1n77.C.539,train,
794,1n77.C.540,train,
795,1n77.C.541,train,
796,1n77.C.542,train,
797,1n77.C.543,train,
798,1n77.C.544,train,
799,1n77.C.545,train,
800,1n77.C.546,train,
801,1n77.C.549,train,
802,1n77.C.548,train,
803,1n77.C.550,train,
804,1n77.C.551,train,
805,1n77.C.552,train,
806,1n77.C.553,train,
807,1n77.C.554,train,
808,1n77.C.555,train,
809,1n77.C.556,train,
810,1n77.C.557,train,
811,1n77.C.558,train,
812,1n77.C.559,train,
813,1n77.C.560,train,
814,1n77.C.561,train,
815,1n77.C.562,train,
816,1n77.C.563,train,
817,1n77.C.564,train,
818,1n77.C.565,train,
819,1n77.C.566,train,
820,1n77.C.567,train,
821,1n77.C.568,train,
822,1n77.C.569,train,
823,1n77.C.570,train,
824,1n77.C.571,train,
825,1n77.C.572,train,
826,1n77.C.573,train,
827,1n77.C.574,train,
828,1n77.C.575,train,"{'name': 'ATP', 'id': ['H_ATP', 600, ' ']}"
829,1n77.C.576,train,"{'name': 'ATP', 'id': ['H_ATP', 600, ' ']}"
830,1qf6.B.2,train,
831,1qf6.B.1,train,
832,1qf6.B.3,train,
833,1qf6.B.4,train,
834,1qf6.B.5,train,
835,1qf6.B.6,train,
836,1qf6.B.7,train,
837,1qf6.B.8,train,
838,1qf6.B.9,train,
839,1qf6.B.10,train,
840,1qf6.B.11,train,
841,1qf6.B.12,train,
842,1qf6.B.13,train,
843,1qf6.B.14,train,
844,1qf6.B.15,train,
845,1qf6.B.16,train,
846,1qf6.B.17,train,
847,1qf6.B.18,train,
848,1qf6.B.19,train,
849,1qf6.B.20,train,
850,1qf6.B.21,train,
851,1qf6.B.22,train,
852,1qf6.B.23,train,
853,1qf6.B.24,train,
854,1qf6.B.25,train,
855,1qf6.B.26,train,
856,1qf6.B.27,train,
857,1qf6.B.28,train,
858,1qf6.B.29,train,
859,1qf6.B.30,train,
860,1qf6.B.31,train,
861,1qf6.B.32,train,
862,1qf6.B.33,train,
863,1qf6.B.34,train,
864,1qf6.B.35,train,
865,1qf6.B.36,train,
866,1qf6.B.37,train,
867,1qf6.B.38,train,
868,1qf6.B.39,train,
869,1qf6.B.40,train,
870,1qf6.B.41,train,
871,1qf6.B.42,train,
872,1qf6.B.43,train,
873,1qf6.B.44,train,
874,1qf6.B.45,train,
875,1qf6.B.46,train,
876,1qf6.B.47,train,
877,1qf6.B.48,train,
878,1qf6.B.49,train,
879,1qf6.B.50,train,
880,1qf6.B.51,train,
881,1qf6.B.52,train,
882,1qf6.B.53,train,
883,1qf6.B.54,train,
884,1qf6.B.55,train,
885,1qf6.B.56,train,
886,1qf6.B.57,train,
887,1qf6.B.58,train,
888,1qf6.B.59,train,
889,1qf6.B.60,train,
890,1qf6.B.61,train,
891,1qf6.B.62,train,
892,1qf6.B.63,train,
893,1qf6.B.64,train,
894,1qf6.B.65,train,
895,1qf6.B.66,train,
896,1qf6.B.67,train,
897,1qf6.B.68,train,
898,1qf6.B.69,train,
899,1qf6.B.70,train,
900,1qf6.B.71,train,
901,1qf6.B.72,train,
902,1qf6.B.73,train,
903,1qf6.B.74,train,
904,1qf6.B.75,train,"{'name': 'AMP', 'id': ['H_AMP', 1002, ' ']}"
905,1qf6.B.76,train,"{'name': 'AMP', 'id': ['H_AMP', 1002, ' ']}"
906,1qzw.B.223,test,"{'name': 'GTP', 'id': ['H_GTP', 179, ' ']}"
907,1qzw.B.215,test,
908,1qzw.B.195,test,
909,1qzw.B.184,test,
910,1qzw.B.197,test,
911,1qzw.B.224,test,"{'name': 'GTP', 'id': ['H_GTP', 179, ' ']}"
