RFAM_Family,Description,Clan_Accession,Clan_Description,Count,Percentage
RF00010,Bacterial RNase P class A,CL00002,RNaseP clan,1,0.08%
RF00013,6S / SsrS RNA,,,1,0.08%
RF00017,Metazoan signal recognition particle RNA,CL00003,SRP clan,1,0.08%
RF00025,Ciliate telomerase RNA,CL00004,Telomerase clan,1,0.08%
RF00036,HIV Rev response element,,,1,0.08%
RF00037,Iron response element I,,,1,0.08%
RF00044,3WJ core of Phi29 Bacteriophage pRNA,,,1,0.08%
RF00050,FMN riboswitch aptamer (RFN element),,,1,0.08%
RF00094,Hepatitis delta virus ribozyme,,,1,0.08%
RF00102,VA RNA,,,1,0.08%
RF00164,Coronavirus 3' stem-loop II-like motif (s2m),CL00117,Coronavirus 3' UTR,1,0.08%
RF00168,Lysine riboswitch aptamer,,,1,0.08%
RF00210,Aphthovirus internal ribosome entry site (IRES),,,1,0.08%
RF00228,Hepatitis A virus internal ribosome entry site (IRES),,,1,0.08%
RF00230,T-box leader,,,1,0.08%
RF00250,Trans-activation response element (TAR),,,1,0.08%
RF00254,mir-16 microRNA precursor family,CL00085,mir-15 clan,1,0.08%
RF00380,M-box riboswitch aptamer (ykoK leader),,,1,0.08%
RF00505,RydC RNA,,,1,0.08%
RF00507,Coronavirus frameshifting stimulation element,,,1,0.08%
RF00525,Flavivirus DB element,,,1,0.08%
RF00622,Mammalian CPEB3 ribozyme,,,1,0.08%
RF00634,SAM (S-adenosyl methionine) riboswitch aptamer,CL00012,SAM clan,1,0.08%
RF00635,Highly accelerated region 1A/1B,,,1,0.08%
RF01051,c-di-GMP-I riboswitch aptamer,CL00126,c-di-GMP_I riboswitch clan,1,0.08%
RF01057,SAH (S-adenosyl-L-homocysteine) riboswitch aptamer,,,1,0.08%
RF01344,CRISPR RNA direct repeat element,,,1,0.08%
RF01415,Flavivirus 3'UTR stem loop IV,,,1,0.08%
RF01510,2dG-I riboswitch aptamer (M. florum),CL00123,Purine riboswitches,1,0.08%
RF01689,AdoCbl-II (Cobalamin/B12) riboswitch aptamer,CL00101,Cobalamin clan,1,0.08%
RF01704,Glutamine-II riboswitch aptamer,,,1,0.08%
RF01725,SAM-I/IV (S-adenosyl methionine) riboswitch aptamer,CL00012,SAM clan,1,0.08%
RF01764,azaaromatic riboswitch aptamer (yjdF RNA),,,1,0.08%
RF01767,SAM-III riboswitch aptamer (SMK box),,,1,0.08%
RF01786,Cyclic di-GMP-II riboswitch aptamer,CL00127,c-di-GMP_II riboswitch clan,1,0.08%
RF01826,SAM-V (S-adenosyl methionine) riboswitch aptamer,,,1,0.08%
RF01854,Bacterial large signal recognition particle RNA,CL00003,SRP clan,1,0.08%
RF01959,Archaeal small subunit ribosomal RNA,CL00111,SSU clan,1,0.08%
RF02001,Group II catalytic intron D1-D4-3,CL00102,Group II catalytic intron D1-D4 clan,1,0.08%
RF02033,HNH endonuclease-associated RNA and ORF (HEARO) RNA,,,1,0.08%
RF02253,Iron response element II,,,1,0.08%
RF02519,ToxI antitoxin,,,1,0.08%
RF02521,Panicum mosaic virus cap-independent translation enhancer RNA (PTE),,,1,0.08%
RF02553,Y RNA-like,,,1,0.08%
RF02678,Hatchet ribozyme,,,1,0.08%
RF02679,Pistol ribozyme,,,1,0.08%
RF02680,PreQ1-III (pre queuosine) riboswitch aptamer,,,1,0.08%
RF02681,Twister_sister_ribozyme,,,1,0.08%
RF02683,NiCo (Nickel/Cobalt) riboswitch aptamer,CL00122,NiCo_riboswitches,1,0.08%
RF02885,SAM-VI (S-adenosyl methionine) riboswitch aptamer,,,1,0.08%
RF03054,Xanthine riboswitch aptamer (NMT1 RNA),,,1,0.08%
RF03064,RAGATH-18 RNA,,,1,0.08%
RF03072,raiA RNA,,,1,0.08%
RF03085,abiF RNA,,,1,0.08%
RF03152,RAGATH-1 hammerhead ribozyme,,,1,0.08%
RF03167,c-di-GMP-I-GGC riboswitch aptamer,CL00126,c-di-GMP_I riboswitch clan,1,0.08%
RF04190,Hairpin ribozyme 1 from viruses-like metatranscriptomes,,,1,0.08%
RF04222,Flavivirus Potato leading responsible virus exoribonuclease-resistant RNA,,,1,0.08%
